DayOfYear	Month	ProsomeLength
10	1	878.5
11	1	980.7
12	1	950
17	1	1016.666667
17	1	877.5
18	1	991.6666667
18	1	940
19	1	890.8
22	1	926
23	1	915
29	1	910.6666667
37	2	883.8888889
48	2	837
48	2	1011.25
49	2	1102
50	2	953.85
53	2	1027.13
53	2	867.2
54	2	925
58	2	1158.555556
58	2	916.3
60	2	931.5555556
60	2	1016.777778
62	3	1016.25
67	3	1004.3
74	3	1062
76	3	962.6666667
77	3	944.8
78	3	1045.75
79	3	944.5555556
79	3	1115
79	3	1075
79	3	1101.6
81	3	994
81	3	978.3
81	3	952.5
81	3	1044
83	3	1110
84	3	1048.56
86	3	1005.166667
88	3	988
93	4	1040
95	4	1030.85
96	4	1053
97	4	1062.3
102	4	1118.7
103	4	1030.1
103	4	963.2
105	4	1000
106	4	1000
106	4	983.3333333
107	4	1027.9
107	4	1092
110	4	1001.64
111	4	1025
115	4	1040.98
116	4	1038.3
117	4	941.0714286
118	4	912.5555556
120	4	1012
123	5	1024
124	5	949.5
128	5	940
131	5	938
132	5	837.5
132	5	966.25
134	5	851.25
136	5	940
136	5	878
137	5	946.25
137	5	958.75
138	5	980
140	5	962.5
142	5	844.5333333
152	5	881
154	6	813.75
156	6	914
159	6	922
160	6	938.75
162	6	987.5
162	6	850
163	6	836.6666667
163	6	891.25
164	6	920.8888889
164	6	902.94
164	6	872
165	6	852.72
166	6	814
166	6	981.6
168	6	867.485
169	6	834.9
173	6	873.5
178	6	888.8
180	6	805.5
180	6	897.5
181	6	886.6666667
181	6	855
184	7	910
185	7	958.8
187	7	850
189	7	870
190	7	787.44
191	7	866.6666667
192	7	884
192	7	822.5
193	7	833.5555556
193	7	908.75
194	7	861.7
196	7	928
196	7	786.6666667
201	7	862.9
205	7	857
206	7	810.1
209	7	1062.5
209	7	820
210	7	793.56
211	7	775.2
211	7	806.25
212	7	823.9
213	7	843.1
214	8	833.8
217	8	812.2222222
218	8	811
219	8	880
220	8	768
220	8	823.35
227	8	833.7777778
229	8	816.4
233	8	830.2
233	8	825
237	8	832.1
242	8	873
246	9	769.2
247	9	821
248	9	794.3333333
257	9	781.5
260	9	828.6
268	9	780.5
270	9	779.28
280	10	724
281	10	839.3
282	10	792
282	10	714
290	10	836
291	10	881.1
293	10	901.6
293	10	829.66
297	10	772
302	10	829.66
313	11	875.3333333
314	11	885
315	11	760
315	11	889
316	11	750
317	11	900
318	11	776
320	11	765.4
324	11	854
330	11	858.3333333
339	12	926.5
341	12	922.7
344	12	816
345	12	909
348	12	891.7
350	12	758
352	12	902.6
355	12	871.4
